127.0.0.1 - - [22/Nov/2014:15:39:16 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-650451889 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:15:39:16 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 66
127.0.0.1 - - [22/Nov/2014:15:39:16 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 200 300
127.0.0.1 - - [22/Nov/2014:15:39:16 -0500] "GET /com.AppHub.jersy/rest/AppService/63f6afd5-11b8-478a-bf47-216668fda6fd HTTP/1.1" 200 300
127.0.0.1 - - [22/Nov/2014:15:39:16 -0500] "DELETE /com.AppHub.jersy/rest/AppService/remove/63f6afd5-11b8-478a-bf47-216668fda6fd HTTP/1.1" 201 59
127.0.0.1 - - [22/Nov/2014:15:39:16 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-650451264 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:15:39:16 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 66
127.0.0.1 - - [22/Nov/2014:15:39:16 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 200 300
127.0.0.1 - - [22/Nov/2014:15:39:16 -0500] "DELETE /com.AppHub.jersy/rest/AppService/remove/678b6e59-a191-42b6-bf79-43fb4c22be3c HTTP/1.1" 201 59
127.0.0.1 - - [22/Nov/2014:15:39:16 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-650451104 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:15:39:16 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 66
127.0.0.1 - - [22/Nov/2014:15:39:16 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 200 300
127.0.0.1 - - [22/Nov/2014:15:39:16 -0500] "PUT /com.AppHub.jersy/rest/AppService/update HTTP/1.1" 200 305
127.0.0.1 - - [22/Nov/2014:15:39:16 -0500] "DELETE /com.AppHub.jersy/rest/AppService/remove/0bcf8f49-d0ae-4eb7-9405-f1f976a9a21a HTTP/1.1" 201 59
127.0.0.1 - - [22/Nov/2014:15:39:16 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-650450979 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:15:39:37 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 63
127.0.0.1 - - [22/Nov/2014:15:39:37 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-650430795 HTTP/1.1" 201 38
